food_type,num_guests,event_type,quantity_prepared,storage,purchase_history,seasonality,prep_method,geo_location,pricing_level,wastage_amount,pricing_score,category,waste_ratio
Dairy Products,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,3,icecek,0.08
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,2,icecek,0.0625
Dairy Products,400,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,3,icecek,0.1
Meat,320,Birthday,400,Refrigerated,Regular,Winter,Buffet,Rural,High,30,3,ana_yemek,0.075
Meat,280,Wedding,400,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,25,2,ana_yemek,0.0625
Meat,320,Corporate,400,Room Temperature,Regular,Summer,Buffet,Urban,High,45,3,ana_yemek,0.1125
Meat,350,Birthday,450,Refrigerated,Regular,Summer,Finger Food,Suburban,Low,20,1,ana_yemek,0.0444
Meat,400,Wedding,350,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,35,3,ana_yemek,0.1
Meat,350,Birthday,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30,3,ana_yemek,0.0667
Meat,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50,3,ana_yemek,0.1
Fruits,320,Wedding,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,3,tatli,0.0875
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2,tatli,0.05
Dairy Products,434,Social Gathering,495,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,36,1,icecek,0.0727
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,3,icecek,0.1
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,2,icecek,0.0625
Meat,320,Birthday,480,Refrigerated,Regular,Winter,Buffet,Rural,High,40,3,ana_yemek,0.0833
Meat,350,Corporate,450,Refrigerated,Occasional,Summer,Buffet,Urban,High,40,3,ana_yemek,0.0889
Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Buffet,Rural,High,30,3,ana_yemek,0.06
Meat,310,Birthday,350,Refrigerated,Regular,Winter,Finger Food,Rural,High,35,3,ana_yemek,0.1
Meat,380,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35,3,ana_yemek,0.07
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,15,2,ana_yemek,0.05
Meat,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15,1,ana_yemek,0.05
Fruits,310,Wedding,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,35,3,tatli,0.1
Meat,434,Birthday,495,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,36,1,ana_yemek,0.0727
Fruits,488,Corporate,498,Room Temperature,Regular,Summer,Finger Food,Rural,High,63,3,tatli,0.1265
Fruits,275,Corporate,388,Room Temperature,Regular,Winter,Finger Food,Urban,Low,16,1,tatli,0.0412
Meat,300,Wedding,400,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,15,2,ana_yemek,0.0375
Meat,220,Wedding,300,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,15,1,ana_yemek,0.05
Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,25,2,ana_yemek,0.0556
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40,3,ana_yemek,0.08
Meat,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15,2,ana_yemek,0.05
Meat,220,Birthday,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15,2,ana_yemek,0.05
Vegetables,350,Birthday,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,30,3,salata,0.0667
Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15,1,salata,0.05
Baked Goods,220,Birthday,300,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15,1,tatli,0.05
Dairy Products,300,Birthday,400,Room Temperature,Regular,Summer,Buffet,Suburban,Low,20,1,icecek,0.05
Vegetables,280,Corporate,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20,2,salata,0.0571
Baked Goods,350,Corporate,450,Room Temperature,Regular,Summer,Finger Food,Urban,Low,20,1,tatli,0.0444
Fruits,280,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20,2,tatli,0.0571
Baked Goods,320,Wedding,400,Room Temperature,Occasional,Summer,Buffet,Rural,High,35,3,tatli,0.0875
Meat,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,20,2,ana_yemek,0.0571
Meat,207,Corporate,280,Room Temperature,Regular,Winter,Finger Food,Suburban,High,20,3,ana_yemek,0.0714
Fruits,275,Corporate,388,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,16,1,tatli,0.0412
Vegetables,400,Wedding,350,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,3,salata,0.1
Meat,250,Wedding,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,20,2,ana_yemek,0.0571
Meat,400,Birthday,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,3,ana_yemek,0.08
Fruits,350,Birthday,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30,3,tatli,0.0667
Baked Goods,300,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20,1,tatli,0.05
Meat,350,Birthday,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,2,ana_yemek,0.0556
Baked Goods,250,Birthday,350,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20,2,tatli,0.0571
Fruits,320,Birthday,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,35,3,tatli,0.0875
Baked Goods,292,Wedding,470,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50,3,tatli,0.1064
Dairy Products,350,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,1,icecek,0.0444
Vegetables,320,Wedding,400,Refrigerated,Regular,Winter,Buffet,Rural,High,30,3,salata,0.075
Fruits,472,Birthday,489,Room Temperature,Regular,Summer,Buffet,Urban,Low,36,1,tatli,0.0736
Meat,320,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15,1,ana_yemek,0.0375
Fruits,320,Wedding,400,Refrigerated,Regular,All Seasons,Buffet,Rural,High,35,3,tatli,0.0875
Meat,453,Wedding,484,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,54,3,ana_yemek,0.1116
Dairy Products,290,Wedding,374,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,27,1,icecek,0.0722
Dairy Products,350,Birthday,450,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,35,3,icecek,0.0778
Fruits,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20,2,tatli,0.0571
Dairy Products,280,Corporate,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25,2,icecek,0.0625
Baked Goods,250,Wedding,350,Room Temperature,Regular,Summer,Finger Food,Rural,High,30,3,tatli,0.0857
Fruits,320,Corporate,400,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,2,tatli,0.05
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,2,ana_yemek,0.0556
Vegetables,267,Wedding,393,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,Low,24,1,salata,0.0611
Baked Goods,450,Corporate,500,Room Temperature,Regular,Summer,Finger Food,Urban,High,30,3,tatli,0.06
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,20,2,ana_yemek,0.0667
Fruits,320,Birthday,400,Room Temperature,Occasional,Winter,Buffet,Rural,High,30,3,tatli,0.075
Meat,400,Corporate,500,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,40,3,ana_yemek,0.08
Dairy Products,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,3,icecek,0.1
Fruits,442,Wedding,452,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,32,1,tatli,0.0708
Baked Goods,247,Birthday,348,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,16,2,tatli,0.046
Fruits,320,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,3,tatli,0.0875
Meat,290,Social Gathering,374,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,27,1,ana_yemek,0.0722
Fruits,320,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,3,tatli,0.1
Vegetables,438,Birthday,493,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,33,3,salata,0.0669
Dairy Products,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15,1,icecek,0.0429
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20,1,icecek,0.0571
Dairy Products,280,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20,2,icecek,0.0571
Baked Goods,400,Birthday,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,3,tatli,0.09
Baked Goods,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,3,tatli,0.0778
Dairy Products,350,Wedding,450,Room Temperature,Occasional,Summer,Sit-down Dinner,Urban,Moderate,25,2,icecek,0.0556
Dairy Products,220,Wedding,300,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15,1,icecek,0.05
Dairy Products,260,Corporate,400,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Low,20,1,icecek,0.05
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,2,icecek,0.0571
Baked Goods,412,Social Gathering,478,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,38,1,tatli,0.0795
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25,2,icecek,0.0625
Meat,230,Corporate,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30,2,ana_yemek,0.06
Baked Goods,350,Birthday,450,Room Temperature,Regular,Summer,Finger Food,Suburban,High,30,3,tatli,0.0667
Baked Goods,302,Corporate,371,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,27,1,tatli,0.0728
Baked Goods,488,Corporate,498,Room Temperature,Regular,Summer,Finger Food,Suburban,High,63,3,tatli,0.1265
Vegetables,350,Corporate,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35,3,salata,0.0778
Fruits,280,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,20,2,tatli,0.0571
Meat,250,Wedding,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,2,ana_yemek,0.0714
Meat,230,Wedding,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Low,20,1,ana_yemek,0.04
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,2,tatli,0.0556
Dairy Products,280,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,2,icecek,0.0571
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20,2,tatli,0.0571
Vegetables,208,Social Gathering,282,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,22,2,salata,0.078
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20,2,icecek,0.0571
Meat,250,Birthday,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,20,2,ana_yemek,0.0571
Fruits,260,Wedding,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20,1,tatli,0.05
Meat,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,2,ana_yemek,0.0375
Dairy Products,400,Wedding,400,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,3,icecek,0.1
Baked Goods,400,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,3,tatli,0.08
Meat,350,Social Gathering,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,2,ana_yemek,0.0556
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Winter,Finger Food,Rural,High,40,3,tatli,0.08
Baked Goods,320,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,2,tatli,0.0625
Dairy Products,270,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,3,icecek,0.1
Dairy Products,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2,icecek,0.05
Dairy Products,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,2,icecek,0.0571
Baked Goods,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50,3,tatli,0.1
Vegetables,220,Corporate,300,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,15,2,salata,0.05
Baked Goods,247,Corporate,348,Room Temperature,Occasional,Summer,Finger Food,Suburban,Moderate,16,2,tatli,0.046
Fruits,320,Social Gathering,400,Refrigerated,Occasional,Winter,Buffet,Rural,High,40,3,tatli,0.1
Dairy Products,320,Birthday,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,3,icecek,0.0875
Fruits,250,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,3,tatli,0.08
Dairy Products,320,Corporate,400,Room Temperature,Regular,Winter,Buffet,Urban,High,45,3,icecek,0.1125
Meat,220,Birthday,300,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15,2,ana_yemek,0.05
Dairy Products,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45,3,icecek,0.09
Baked Goods,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,3,tatli,0.0889
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20,1,tatli,0.0571
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25,2,icecek,0.0625
Baked Goods,247,Corporate,348,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,16,2,tatli,0.046
Dairy Products,280,Corporate,350,Room Temperature,Occasional,Winter,Finger Food,Suburban,Moderate,20,2,icecek,0.0571
Baked Goods,247,Social Gathering,348,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,16,2,tatli,0.046
Baked Goods,230,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30,2,tatli,0.06
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,3,tatli,0.08
Baked Goods,220,Social Gathering,450,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,30,2,tatli,0.0667
Dairy Products,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,35,3,icecek,0.0778
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,2,icecek,0.0429
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,20,2,icecek,0.0571
Vegetables,350,Corporate,450,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,30,2,salata,0.0667
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Moderate,30,2,tatli,0.0667
Vegetables,397,Social Gathering,482,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,31,2,salata,0.0643
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,40,3,tatli,0.08
Dairy Products,261,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,23,2,icecek,0.0657
Baked Goods,290,Birthday,374,Room Temperature,Regular,Summer,Finger Food,Rural,Low,27,1,tatli,0.0722
Vegetables,300,Corporate,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,30,3,salata,0.075
Fruits,350,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,45,3,tatli,0.1
Meat,350,Corporate,450,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,25,2,ana_yemek,0.0556
Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45,3,icecek,0.1125
Meat,400,Wedding,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,45,3,ana_yemek,0.09
Fruits,400,Social Gathering,500,Room Temperature,Regular,Summer,Finger Food,Rural,High,40,3,tatli,0.08
Meat,380,Social Gathering,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,2,ana_yemek,0.0625
Meat,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25,1,ana_yemek,0.05
Meat,350,Social Gathering,450,Room Temperature,Regular,Winter,Finger Food,Suburban,High,30,3,ana_yemek,0.0667
Dairy Products,350,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,High,30,3,icecek,0.0667
Fruits,310,Corporate,350,Room Temperature,Occasional,All Seasons,Finger Food,Urban,High,35,3,tatli,0.1
Baked Goods,450,Birthday,500,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,30,3,tatli,0.06
Baked Goods,247,Corporate,348,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,16,2,tatli,0.046
Meat,400,Corporate,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40,3,ana_yemek,0.08
Baked Goods,220,Wedding,300,Room Temperature,Occasional,Summer,Finger Food,Suburban,High,35,3,tatli,0.1167
Fruits,250,Social Gathering,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,3,tatli,0.1143
Vegetables,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20,1,salata,0.05
Fruits,342,Social Gathering,405,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,29,2,tatli,0.0716
Dairy Products,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20,1,icecek,0.0571
Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,35,3,tatli,0.0778
Baked Goods,250,Social Gathering,350,Room Temperature,Occasional,Summer,Buffet,Suburban,Low,10,1,tatli,0.0286
Dairy Products,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15,2,icecek,0.05
Baked Goods,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25,2,tatli,0.0625
Vegetables,250,Social Gathering,350,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,20,2,salata,0.0571
Dairy Products,350,Corporate,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30,3,icecek,0.0667
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50,3,icecek,0.1
Dairy Products,439,Social Gathering,459,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39,1,icecek,0.085
Dairy Products,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,2,icecek,0.0625
Dairy Products,280,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,2,icecek,0.0571
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,15,1,tatli,0.05
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,High,40,3,icecek,0.1
Fruits,230,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20,1,tatli,0.04
Dairy Products,350,Birthday,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,2,icecek,0.0556
Dairy Products,400,Social Gathering,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,2,icecek,0.0667
Fruits,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,2,tatli,0.05
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,2,tatli,0.0625
Fruits,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,2,tatli,0.0571
Fruits,320,Birthday,480,Refrigerated,Regular,Summer,Buffet,Rural,High,40,3,tatli,0.0833
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,15,1,ana_yemek,0.05
Meat,434,Wedding,495,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,36,1,ana_yemek,0.0727
Vegetables,472,Corporate,489,Refrigerated,Occasional,Winter,Buffet,Urban,Low,36,1,salata,0.0736
Meat,250,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Urban,High,30,3,ana_yemek,0.0857
Fruits,220,Wedding,300,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15,2,tatli,0.05
Meat,320,Corporate,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,3,ana_yemek,0.0875
Vegetables,350,Wedding,450,Refrigerated,Occasional,Summer,Finger Food,Rural,High,30,3,salata,0.0667
Meat,400,Corporate,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,3,ana_yemek,0.1
Fruits,320,Corporate,480,Refrigerated,Occasional,All Seasons,Buffet,Suburban,High,40,3,tatli,0.0833
Vegetables,280,Corporate,350,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,24,2,salata,0.0686
Fruits,292,Birthday,470,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,3,tatli,0.1064
Meat,208,Wedding,282,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,22,2,ana_yemek,0.078
Fruits,250,Corporate,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,2,tatli,0.0571
Meat,320,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,3,ana_yemek,0.0875
Meat,320,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,20,2,ana_yemek,0.05
Vegetables,220,Wedding,300,Refrigerated,Occasional,Summer,Finger Food,Rural,Moderate,15,2,salata,0.05
Baked Goods,302,Corporate,371,Room Temperature,Occasional,Winter,Buffet,Suburban,Low,27,1,tatli,0.0728
Vegetables,250,Social Gathering,350,Refrigerated,Regular,Summer,Buffet,Rural,Moderate,20,2,salata,0.0571
Baked Goods,267,Wedding,393,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,24,1,tatli,0.0611
Fruits,453,Wedding,484,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,54,3,tatli,0.1116
Vegetables,400,Social Gathering,500,Room Temperature,Regular,Summer,Buffet,Rural,High,30,3,salata,0.06
Meat,300,Wedding,400,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,15,2,ana_yemek,0.0375
Baked Goods,220,Wedding,300,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15,2,tatli,0.05
Baked Goods,300,Birthday,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,3,tatli,0.0833
Fruits,280,Social Gathering,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,20,1,tatli,0.0571
Dairy Products,290,Corporate,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,1,icecek,0.0722
Meat,438,Corporate,493,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,35,2,ana_yemek,0.071
Baked Goods,350,Birthday,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,45,3,tatli,0.1
Vegetables,300,Corporate,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35,3,salata,0.0778
Baked Goods,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15,2,tatli,0.0375
Dairy Products,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35,3,icecek,0.0875
Fruits,267,Social Gathering,393,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,24,1,tatli,0.0611
Fruits,300,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,2,tatli,0.0625
Meat,342,Social Gathering,405,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,29,2,ana_yemek,0.0716
Fruits,350,Birthday,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,2,tatli,0.0556
Fruits,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,40,3,tatli,0.08
Vegetables,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2,salata,0.05
Vegetables,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,3,salata,0.0875
Dairy Products,491,Birthday,497,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32,3,icecek,0.0644
Fruits,250,Wedding,350,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,20,2,tatli,0.0571
Meat,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,3,ana_yemek,0.0778
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,1,icecek,0.05
Baked Goods,380,Social Gathering,480,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,30,2,tatli,0.0625
Vegetables,250,Wedding,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20,2,salata,0.0571
Dairy Products,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50,3,icecek,0.1
Dairy Products,250,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,1,icecek,0.0625
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50,3,tatli,0.1
Baked Goods,240,Wedding,450,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,20,1,tatli,0.0444
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,20,2,icecek,0.0571
Dairy Products,453,Corporate,484,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,54,3,icecek,0.1116
Dairy Products,380,Social Gathering,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,2,icecek,0.0625
Baked Goods,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,3,tatli,0.07
Dairy Products,250,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,3,icecek,0.1143
Vegetables,220,Social Gathering,300,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,15,2,salata,0.05
Fruits,270,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,3,tatli,0.1
